,ENTSOE,JRC
0,3,7
1,40,55
2,67,119
3,495,3439
4,520,932
5,556,1000
6,630,1260
7,681,1395
8,682,1396
9,683,2678
10,728,143
11,736,2161
12,839,1774
13,840,1775
14,862,1817
15,872,1837
16,988,2177
17,1118,2419
18,1156,2500
19,1500,3397
20,1517,3475
21,287,515
22,1043,2280
23,596,3344
24,673,1229
25,685,1230
26,893,1232
27,1024,2237
28,1094,2340
29,1095,2341
30,1235,1234
31,378,646
32,384,662
33,642,1295
34,667,1315
35,985,2168
36,20,25
37,75,125
38,83,147
39,91,161
40,108,193
41,110,197
42,143,306
43,146,311
44,160,343
45,186,403
46,242,476
47,245,486
48,269,2580
49,281,509
50,300,523
51,319,537
52,347,605
53,466,787
54,517,927
55,524,934
56,549,988
57,603,1162
58,701,1414
59,836,1771
60,846,1791
61,847,1792
62,901,1894
63,905,1896
64,906,1897
65,909,1902
66,979,2142
67,989,2178
68,1010,2213
69,1032,2254
70,1075,2316
71,1081,2323
72,1109,2385
73,1125,2437
74,1132,2446
75,1190,2571
76,1191,2574
77,1193,2576
78,1194,2577
79,1195,2579
80,1210,2621
81,1214,2629
82,1232,2712
83,1252,2752
84,1282,2846
85,1301,2924
86,1319,250
87,1456,3255
88,1480,3331
89,1489,3353
90,1494,3366
91,433,736
92,516,918
93,541,969
94,614,1194
95,721,1466
96,850,1796
97,1127,2443
98,1131,2444
99,1473,3309
100,1499,3386
101,16,19
102,56,94
103,72,124
104,380,648
105,640,1288
106,688,1398
107,747,1496
108,763,1566
109,1041,2278
110,1042,2279
111,1047,2290
112,1076,2317
113,1236,2720
114,1302,2925
115,61,102
116,1434,3152
117,4,8
118,8,13
119,15,18
120,17,20
121,22,26
122,25,30
123,26,32
124,27,34
125,52,84
126,53,86
127,60,101
128,66,112
129,69,120
130,82,146
131,84,148
132,96,166
133,98,176
134,99,177
135,100,180
136,101,181
137,102,183
138,105,186
139,109,194
140,131,281
141,133,293
142,136,297
143,137,300
144,151,318
145,154,335
146,161,344
147,162,352
148,169,376
149,171,377
150,185,402
151,187,404
152,190,405
153,193,410
154,194,413
155,197,416
156,198,417
157,201,421
158,202,424
159,203,425
160,205,427
161,207,428
162,208,430
163,209,431
164,216,435
165,219,438
166,220,439
167,221,440
168,222,441
169,223,443
170,228,450
171,229,451
172,231,454
173,234,653
174,236,457
175,238,459
176,240,466
177,243,478
178,246,487
179,247,488
180,248,489
181,250,2589
182,262,495
183,263,1820
184,265,497
185,277,1945
186,278,506
187,284,511
188,285,512
189,286,513
190,293,516
191,294,517
192,296,520
193,301,524
194,304,526
195,307,528
196,318,3020
197,320,538
198,328,561
199,349,611
200,382,652
201,383,660
202,426,721
203,448,759
204,451,767
205,453,770
206,455,773
207,458,776
208,460,783
209,481,2751
210,482,826
211,484,830
212,497,871
213,498,879
214,505,895
215,506,896
216,508,907
217,522,933
218,525,937
219,540,967
220,544,975
221,552,997
222,557,1004
223,558,1007
224,561,1013
225,567,911
226,618,1209
227,670,1317
228,669,1316
229,671,1320
230,769,1576
231,774,1600
232,775,1602
233,778,1609
234,783,1632
235,786,1635
236,794,1669
237,801,1684
238,816,1732
239,1022,1821
240,830,38
241,834,1770
242,837,1773
243,842,1779
244,843,1787
245,851,1800
246,854,1804
247,863,1819
248,865,1825
249,878,1849
250,892,1884
251,894,1886
252,902,1895
253,907,1899
254,908,1901
255,913,1911
256,915,1930
257,917,1941
258,929,1997
259,930,2000
260,936,2017
261,952,2073
262,982,2157
263,993,2182
264,994,2526
265,998,2188
266,1000,2189
267,1001,2191
268,1006,2199
269,1013,2220
270,1017,2222
271,1020,2227
272,1023,2235
273,1028,2250
274,1033,2255
275,1036,2258
276,1037,2259
277,1039,2274
278,1050,2293
279,1052,2295
280,1053,2296
281,1055,906
282,1057,2299
283,1058,2300
284,1059,1909
285,1060,2302
286,1080,2320
287,1082,2324
288,1085,2327
289,1086,2330
290,1087,2331
291,1093,2338
292,1101,2355
293,1102,2357
294,1103,2358
295,1116,2409
296,1121,2434
297,1139,2468
298,1140,2469
299,1142,2474
300,1150,2488
301,1154,461
302,1157,2514
303,1167,88
304,1174,2551
305,1178,1657
306,1180,2552
307,1187,2568
308,1198,2592
309,1201,2595
310,1203,2601
311,1204,2613
312,1208,2619
313,1212,2624
314,1215,2636
315,1228,2698
316,1230,2704
317,1244,2729
318,1263,2820
319,1268,2825
320,1269,2827
321,1273,2830
322,1276,2832
323,1284,2572
324,1289,2870
325,1292,2877
326,1300,2918
327,1312,2953
328,1322,2965
329,1333,3014
330,1338,3023
331,1362,3042
332,1364,3260
333,1392,2147
334,1394,3074
335,1406,3088
336,1409,3089
337,1413,3094
338,1417,3096
339,1421,3117
340,1436,3156
341,1453,3245
342,1458,3258
343,1463,3274
344,1467,3285
345,1468,3286
346,1470,3290
347,1471,3297
348,1479,3325
349,1478,3326
350,1482,3335
351,1485,3350
352,1486,3352
353,1492,3362
354,1523,3491
355,1525,3497
356,697,1409
357,1044,2283
358,1135,2462
359,693,1405
360,750,1510
361,1391,3068
362,1496,3375
363,38,52
364,51,3517
365,70,3527
366,78,137
367,79,141
368,125,261
369,140,301
370,141,304
371,150,315
372,159,342
373,325,551
374,344,602
375,352,623
376,359,628
377,444,746
378,564,1036
379,584,1101
380,599,1156
381,616,1196
382,617,1199
383,629,1253
384,676,1349
385,720,1462
386,722,1474
387,754,1542
388,771,1582
389,790,1645
390,813,1719
391,822,1753
392,844,1957
393,859,1809
394,860,1814
395,920,1953
396,923,1991
397,931,2008
398,934,2014
399,938,2020
400,950,2069
401,972,2130
402,1106,2383
403,1149,2540
404,1189,2995
405,1213,2628
406,1251,2750
407,1256,2770
408,1257,2771
409,1261,2814
410,1264,2822
411,1265,3001
412,1294,2894
413,1295,2895
414,1303,2930
415,1314,2954
416,1316,2958
417,1317,2959
418,1323,2973
419,1324,2979
420,1327,2987
421,1331,3010
422,1398,3079
423,1399,3081
424,1401,3084
425,1402,3086
426,1410,3090
427,1425,3129
428,1429,3144
429,1438,3173
430,1440,3179
431,1450,3225
432,1459,3263
433,1466,3283
434,1484,3337
435,362,632
436,1073,2305
437,1262,2815
438,1516,3474
439,1534,3555
440,1535,3556
441,19,22
442,37,49
443,42,57
444,92,162
445,112,212
446,182,401
447,211,432
448,227,445
449,305,527
450,492,848
451,494,852
452,886,1863
453,1031,2253
454,1045,2289
455,1117,2410
456,1197,2586
457,1412,3097
458,1455,3250
459,148,1227
460,503,1228
461,815,484
462,848,1231
463,1067,485
464,1114,2395
465,1163,1233
466,1296,1235
467,1310,2952
468,1396,1236
469,1474,1238
470,593,569
471,1126,2439
472,501,892
473,805,1697
474,1531,3554
475,595,828
476,597,3495
477,1530,150
478,18,21
479,135,296
480,571,1054
481,916,1931
482,1334,3016
483,1339,3024
484,107,190
485,113,217
486,486,834
487,504,894
488,585,1102
489,586,1103
490,615,1195
491,631,1268
492,632,1269
493,679,1360
494,680,1361
495,705,1422
496,726,1485
497,749,1504
498,751,1514
499,755,1545
500,779,1610
501,782,1630
502,793,1665
503,800,1683
504,879,1852
505,882,1856
506,969,2095
507,973,2131
508,1065,2306
509,1066,2307
510,1141,2473
511,1227,2697
512,1285,2856
513,1287,2866
514,1299,2917
515,1328,2994
516,1411,3091
517,1426,3134
518,1427,3140
519,1461,3271
520,1475,3311
521,1526,3503
522,13,17
523,404,708
524,550,990
525,716,1687
526,1128,2442
527,214,436
528,266,500
529,312,532
530,432,732
531,454,772
532,467,788
533,476,793
534,490,846
535,511,914
536,536,959
537,563,1023
538,651,1308
539,925,1994
540,1110,2387
541,1237,2847
542,1240,2722
543,1259,2801
544,1280,2845
545,1428,3142
